* Partlist from file: A1200.lay6" / 2018-07-27 21:13:24
*
* All coordinates in mm
*
* Name	Value	Layer	Comment	Pos-X	Pos-Y	Rot	Package	No
R951E	4.7KOhm	Top		164.50	-117.02	R90	0805	511
R951F	4.7KOhm	Top		169.90	-117.02	R90	0805	512
R951F	4.7KOhm	Top		166.73	-117.02	R90	0805	513
R953A	470Ohm	Bottom		193.08	-10.02	R90	0805	514
R953B	470Ohm	Bottom		190.86	-10.02	R90	0805	515
R953C	470Ohm	Bottom		188.32	-10.02	R90	0805	516
R953D	470Ohm	Top		168.31	-136.07	R90	0805	517
R953E	470Ohm	Top		165.46	-136.07	R90	0805	518
R953F	470Ohm	Top		174.03	-130.67	R90	0805	519
R954A	1KOhm	Top		184.19	-24.94	R90	0805	520
R954B	1KOhm	Bottom		186.09	-10.02	R90	0805	521
R954C	470Ohm	Bottom		54.01	-77.97	R90	0805	522
R954D	470Ohm	Bottom		56.24	-77.97	R90	0805	523
R954E	1KOhm	Top		58.14	-56.38	R90	0805	524
TopLeft		Top		-37.15	36.59	R0		525
TopRight		Top		317.10	36.59	R0		526
U0		Top		106.44	-127.96	R180	PLCC_68	527
U1	68EC020	Top		151.60	-128.02	R180	QFP_14x20_100	528
U2	ALICE	Top		51.57	-122.32	R90	PLCC_84	529
U3	PAULA	Top		192.92	-4.32	R0	PLCC_52	530
U4	LISA	Top		54.65	-28.88	R180	PLCC_84	531
U5	AA-GAYLE	Top		52.07	-77.06	R180	PLCC_84	532
U7	8520	Top		147.99	14.57	R180	PLCC_44	533
U8	8520	Top		249.43	-2.94	R270	PLCC_44	534
U9		Top		170.93	-53.54	R90	SOIC_20_W	535
U13	68HC05C	Top		91.08	-6.58	R180	PLCC_44	536
U15	LF347	Top		115.93	-8.61	R0		537
U16	416C256BJ	Top		---	---	R---	---	538
U17	416C256BJ	Top		---	---	R---	---	539
U18	416C256BJ	Top		---	---	R---	---	540
U19	416C256BJ	Top		---	---	R---	---	541
U20	BUDGIE	Top		97.65	-46.21	R180	QFP_28x28_128	542
U23	74F139	Top		58.92	1.35	R0		543
U26	74LS86	Top		212.92	-21.03	R0		544
U28	1488	Top		224.59	-4.80	R0		545
U29	1489	Top		214.99	13.93	R0		546
U30	BT101	Top		41.39	2.50	R270	PLCC_44	547
U32	74HCT244	Top		72.07	1.07	R0	SOIC_20_W	548
U34	74LS166	Top		260.83	-27.70	R0		549
U43	74LS245	Top		8.57	-74.54	R90	SOIC_20_W	550
U45	74LS245	Top		9.49	-105.10	R90	SOIC_20_W	551
U46	74LS245	Top		9.49	-89.78	R90	SOIC_20_W	552
U47	74LS245	Top		9.49	-123.15	R90	SOIC_20_W	553
U49	RH5VA43A	Top		77.47	-14.05	R0		554
U26X		Top		---	---	R---	---	555
XC1	0.047uF	Top		83.13	-118.47	R0	1206	556
X3	74F32	Top	Schematic say 74F74!!	84.10	-125.37	R0		557
XC9	220nF	Bottom		20.99	-140.00	R90	1206	558
XJ1	0Ohm	Top		72.65	-124.34	R0	1206	559
XJ2	0Ohm	Top		72.65	-131.64	R0	1206	560
XJ3	0Ohm	Top		72.65	-127.83	R270	1206	561
XR9	1KOhm	Top		18.14	-126.23	R90	0805	562
XU2		Top		---	---	R---	---	563
XU3		Top		---	---	R---	---	564
XU9	16V8	Top		20.23	-135.33	R270	PLCC_20	565
